record_id,source_type,source_name,source_reference,citation_url,species,eventDate,year,lon,lat,label,coordinate_precision_km,species_confirmed,confidence_score,is_verified,qa_reviewer,qa_status,rationale,notes,snap_dist_m,within_1km,snapped_lon,snapped_lat,depth,slope,distance_to_shore,shallow_mask,rain_mean,rain_std,extreme_rain,wind_mean,wind_std,chl_mean,chl_std,turb_mean,turb_std,cyclone,wave_mean,wave_std,sal_mean,sal_std,sal_shock_days,current_mean,extreme_wave_days,sst_mean,sst_var,heat_stress_freq
V11-011,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.27197222,9.29794444,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Ariyankundu,User-provided final recommended v1.1 positive list,7176.268325868397,False,79.33079761555194,9.326146090138533,4.0,0.1250413,1414.2136,1.0,0.08951718,0.12522586,4.0,5.488249,1.8821713,2.6180832,0.6416359,890.8169,1671.8766,6.2449307,0.617656,0.17323062,30.749174,0.9866773,0.0,0.47344828,0.0,29.230553,2.05707,243.0
V11-012,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.26163889,9.29275,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Villoondi,User-provided final recommended v1.1 positive list,8448.528588085988,False,79.33079761555194,9.326146090138533,4.0,0.1250413,1414.2136,1.0,0.08951718,0.12522586,4.0,5.488249,1.8821713,2.6180832,0.6416359,890.8169,1671.8766,6.2449307,0.617656,0.17323062,30.749174,0.9866773,0.0,0.47344828,0.0,29.230553,2.05707,243.0
V11-013,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.254,9.29177778,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Manthoppu,User-provided final recommended v1.1 positive list,9254.311822413565,False,79.33079761555194,9.326146090138533,4.0,0.1250413,1414.2136,1.0,0.08951718,0.12522586,4.0,5.488249,1.8821713,2.6180832,0.6416359,890.8169,1671.8766,6.2449307,0.617656,0.17323062,30.749174,0.9866773,0.0,0.47344828,0.0,29.230553,2.05707,243.0
V11-014,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.24508333,9.29227778,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Victoria Nagar,User-provided final recommended v1.1 positive list,9785.808847047083,False,79.2140166286164,9.209365103202996,4.0,0.112648875,6324.555,1.0,0.08350476,0.11696707,4.0,5.517838,1.980814,1.9834868,3.1619828,610.0141,1349.0564,7.5781474,0.9237172,0.30290312,29.972847,0.20425983,0.0,0.19887953,3.0,29.34995,2.0723448,228.0
V11-015,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.23966667,9.29230556,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Naalupanai,User-provided final recommended v1.1 positive list,9597.338381551102,False,79.2140166286164,9.209365103202996,4.0,0.112648875,6324.555,1.0,0.08350476,0.11696707,4.0,5.517838,1.980814,1.9834868,3.1619828,610.0141,1349.0564,7.5781474,0.9237172,0.30290312,29.972847,0.20425983,0.0,0.19887953,3.0,29.34995,2.0723448,228.0
V11-016,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.14469444,9.29138889,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:T.Nagar,User-provided final recommended v1.1 positive list,4295.712850236788,False,79.13316825304565,9.254280867408973,3.0,0.044011295,1414.2136,1.0,0.0845525,0.117455736,4.0,5.0761933,1.711403,2.5802588,0.678245,722.75024,1163.4829,1.1433283,0.7628159,0.15159662,31.786808,1.7567143,0.0,0.19775502,0.0,29.220367,2.177449,619.0
V11-017,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.13327778,9.28780556,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Munaikadu,User-provided final recommended v1.1 positive list,3708.400940102789,False,79.13316825304565,9.254280867408973,3.0,0.044011295,1414.2136,1.0,0.0845525,0.117455736,4.0,5.0761933,1.711403,2.5802588,0.678245,722.75024,1163.4829,1.1433283,0.7628159,0.15159662,31.786808,1.7567143,0.0,0.19775502,0.0,29.220367,2.177449,619.0
V11-018,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.12547222,9.28763889,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Umayalpuram,User-provided final recommended v1.1 positive list,3692.6720383160928,False,79.12418510020446,9.254280867408973,3.0,0.14000215,1000.0,1.0,0.0845525,0.117455736,4.0,5.0761933,1.711403,2.56979,0.65825075,719.75977,1056.6287,1.0485129,0.7627233,0.15119877,31.247173,1.2913748,0.0,0.16353835,0.0,29.297937,2.218059,312.0
V11-019,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.105,9.289,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Vedelai,User-provided final recommended v1.1 positive list,3842.900414309496,False,79.10621879452206,9.254280867408973,4.0,0.15537283,1000.0,1.0,0.0845525,0.117455736,4.0,5.0761933,1.711403,2.548852,0.6182622,771.28174,1276.6158,0.89503944,0.7606397,0.14224304,30.167904,0.36069587,0.0,0.09510502,0.0,29.453077,2.2992795,312.0
V11-020,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.08533333,9.29497222,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Pillaimadam,User-provided final recommended v1.1 positive list,4512.666614188891,False,79.08825248883967,9.254280867408973,4.0,0.15537283,1000.0,1.0,0.0845525,0.117455736,4.0,5.0761933,1.711403,2.9070492,0.31836224,745.62885,1273.686,0.7753337,0.7584706,0.13291985,30.498182,0.6494007,0.0,0.09120514,0.0,29.413218,2.2966049,312.0
V11-021,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.05425,9.30583333,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Pirappanvalasai,User-provided final recommended v1.1 positive list,5968.84474981595,False,79.0702861831573,9.254280867408973,3.0,0.16156437,1000.0,1.0,0.0845525,0.117455736,4.0,5.0761933,1.711403,3.2777789,0.0098709185,807.29236,1231.9303,0.6798488,0.7562107,0.12320609,31.574635,1.5836108,0.0,0.12146733,0.0,29.27013,2.2495189,655.0
V11-022,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.02883333,9.32261111,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Irumeni,User-provided final recommended v1.1 positive list,6364.927152136635,False,79.02537041895131,9.380045007185704,4.0,0.034941062,5000.0,1.0,0.08539495,0.11626233,4.0,4.7023425,1.5123423,2.3023307,0.54602635,433.67188,611.1034,0.47843656,0.5595071,0.2640693,32.411556,2.9241836,13.0,0.034872416,0.0,29.26512,2.4946544,809.0
V11-023,government,verified_tn_site_list,MFIS_246_B Johnson + cited farm-site literature,http://eprints.cmfri.org.in/14936/1/MFIS_246_B%20Johnson.pdf,Kappaphycus alvarezii,,,79.01538889,9.33313889,1,1.0,True,0.95,True,pending_manual_review,approved,farm_cluster_site:Uchipuli,User-provided final recommended v1.1 positive list,5190.119497731049,False,79.01638726611012,9.380045007185704,3.0,0.049480103,4242.6406,1.0,0.08539495,0.11626233,4.0,4.7023425,1.5123423,2.324248,0.6323765,446.49704,679.38654,0.46166644,0.5595071,0.2640693,32.401127,2.9317756,20.0,0.034747012,0.0,29.277594,2.5146997,861.0
